id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5104709179809528	,P1YvrF9Uc,"怪不得闷出火疖子
还以为上火了，切👎",,,,,2024-11-25T21:22:52,iPhone 14,3,5,1,,,2024-11-25 21:22:52,False,6038922387,乔凯文,5102740550453384	,P19if1TWE,"最近总刷到的卫生巾事件，原来这么恶劣。。 怎么至今没有看到一个厂家出来解释道歉什么的
 #卫生巾偷工减料压缩的不是成本是口碑# #卫生巾塌房# ",,"https://wx3.sinaimg.cn/large/006AGHzZly1hvsin7rqbzj30sc1kdaeo.jpg,https://wx4.sinaimg.cn/large/006AGHzZly1hvsin9aldkj30ts1i445a.jpg,https://wx4.sinaimg.cn/large/006AGHzZly1hvsinamuuaj30ti1h8n2a.jpg,https://wx3.sinaimg.cn/large/006AGHzZly1hvsine3jfxj30rc1j6wj6.jpg,https://wx1.sinaimg.cn/large/006AGHzZly1hvsinfoxmpj30lh155whq.jpg,https://wx4.sinaimg.cn/large/006AGHzZly1hvsin77zjcj30on0zcjtp.jpg,https://wx2.sinaimg.cn/large/006AGHzZly1hvsinlknqtj30rw13vgtb.jpg,https://wx3.sinaimg.cn/large/006AGHzZly1hvsinmxubgj30kc0r4mzq.jpg,https://wx4.sinaimg.cn/large/006AGHzZly1hvsir7626vj30wr0j177n.jpg",,,2024-11-20T11:00:14,,5422,259,536,"卫生巾偷工减料压缩的不是成本是口碑,卫生巾塌房",,2024-11-20 11:00:14
5104708859466323	,P1YuVDICD,就很垃圾,,,,,2024-11-25T21:21:35,iPhone 14,2,0,0,,,2024-11-25 21:21:35,False,5044281310,澎湃新闻,5103060068073731	,P1hBAxSlt,"【数据·明查｜#24款卫生巾缩水实测#：吸收层竟然短这么多？！】#24款卫生巾仅2款与标称长度一致#最近，卫生巾长度“缺斤少两”成了热门话题，许多消费者发现自己购买的卫生巾实际长度达不到包装上的标识长度或宣传长度，澎湃新闻实地测评卫生巾长度究竟是否“缩水”？#卫生巾塌房# 
澎湃新闻的微博视频
  #医用级卫生巾搜索量飙升#",,,"https://f.video.weibocdn.com/o0/7bTP97v8lx08jKMjOSPm01041201BpBS0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732875674&ssig=cenPlx9uiF&KID=unistore,video",,2024-11-21T08:09:53,微博视频号,16717,943,802,"24款卫生巾缩水实测,24款卫生巾仅2款与标称长度一致,卫生巾塌房,医用级卫生巾搜索量飙升",,2024-11-21 08:09:53
5104679988232563	,P1XKmyxFh,真的不配使用工作犬,,,,,2024-11-25T19:26:51,iPhone 14,3,2,5,,,2024-11-25 19:26:51,False,5609896682,诸暨流浪动物之家,5103565935479511	,P1uLvmZtd,"发现杭州萧山楼塔特大狗肉屠宰场！急需大量志愿者個志愿者发现一辆载满狗狗的狗车，其中还有不少品种狗，跟随狗车发现了特大屠宰场！
目前急需大量志愿者，狗贩子们甚至当着志愿者和执f者的面屠S小狗并且剥p！！
现场志愿者已经报警，白天各部门领导辛苦前往了现场
协助了屠夫让卖家拉走了白条狗
为动物发声#拒绝食用伴侣动物# 
杭州·楼塔古镇
 
诸暨流浪动物之家的微博视频",,,"https://f.video.weibocdn.com/o0/E8i222Nclx08jN0hCLsA01041200kjyc0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732875674&ssig=kl%2BaQYnh2C&KID=unistore,video",杭州·楼塔古镇,2024-11-22T17:40:01,iPhone客户端,4749,1195,4570,拒绝食用伴侣动物,,2024-11-22 17:40:01
5104622190988282	,P1Wf94962,转发微博,,,,,2024-11-25T15:37:12,iPhone 14,0,0,0,,,2024-11-25 15:37:12,False,1284581955,我是MISS南,5104619405967910	,P1WaEp2wC,"#美南1V1# 
开一个新的栏目，和大家分享一些1V1的心得。
当然不会讲具体的事。
只是说一些现象。
今天想讲女性和妈妈的关系：
大家可以做一个观察，目前互联网上那么多
骂麦麦很难听的女性，就是说麦麦如何如何坏，如何如何恶心（正常的讨论不算），是不是都和母亲关系不好？
我不能说百分百，但是大概率。但这个逻辑是和妈妈感情不好的并非百分百会对其他女性过责，也有一些会爱护其他女性。但对其他女性过责，挑剔，容易反感的大概率和妈妈关系不好。
女孩和妈妈关系不好，不喜欢妈妈，厌恶妈妈，大概率会容易在社会上去攻击其他女性。
和妈妈关系好的女性，也不是会喜欢所有的女人，但是大概率对女性比较友好。
解决这一方案就是需要自己去深入了解自己的问题，控制情绪，和自己不喜欢的妈妈保持物理距离。不要过于纠缠，不要过多自责，不要被情感绑架。
如果有人在厌恶麦麦的过程中，发现了自己的问题，从而改善了自己和妈妈的相处。并且在改变后提升了自己的幸福度，那将是很好的事情。
这也是我们参与社会讨论的意义，不是要发泄情绪，而是要找出问题。并且对自己的人生进行一定程度的纠错，让自己过了更好。",,,,,2024-11-25T15:26:08,iPhone 15 Pro Max,78,28,4,美南1V1,,2024-11-25 15:26:08
5104522956902147	,P1TF5sXyX,晓姿抗糖饮喝了秒睡啊，睡足了9小时起来都不肿了 ,,https://wx2.sinaimg.cn/large/ed9d4461gy1hvy7goako2j20u017utdm.jpg,,,2024-11-25T09:02:53,iPhone 14,17,10,0,,,2024-11-25 09:02:53,True
5104325103191265	,P1OvYdoc1,"#好好吃饭# 
最近吃的多动的也多，没胖没瘦，维持在110斤，冬天就这样啦，夏天再减肥吧
冬天我要吃所有好吃的，开开心心快快乐乐的过～ ",,"https://wx3.sinaimg.cn/large/ed9d4461gy1hvxkomra9qj22c0340x6p.jpg,https://wx2.sinaimg.cn/large/ed9d4461gy1hvxjq9c3pdj22c03401ky.jpg,https://wx1.sinaimg.cn/large/ed9d4461gy1hvxjqdgf4oj233z2bzqv6.jpg,https://wx3.sinaimg.cn/large/ed9d4461gy1hvxjqf0plqj233z2bz1ky.jpg,https://wx4.sinaimg.cn/large/ed9d4461gy1hvxknqrro8j23402c01kz.jpg,https://wx2.sinaimg.cn/large/ed9d4461gy1hvxkppwtf6j23402c0qv6.jpg",,,2024-11-24T19:56:41,iPhone 14,12,1,0,好好吃饭,,2024-11-24 19:56:41,True
5104319902253342	,P1OnA9sce,"#汤圆医美记录# 
如果只是想要腰腹细一丢丢或者局部纤细一点可以先尝试身体射频类的美容项目。
吸脂真的是蛮大蛮伤元气的手术，如果不是上镜需求或者自己执念，试着长期靠自己健身吧，雕刻自己顺便养个生。
周六做的那个日本射频仪器balance效果也不错，美容师和我说是平替indiba，有两个头，一个人作用肌肉，一个作用溶脂，再配合手法按按肚子带脉又热热的，肉眼看是凹进去了一点。
还有一种疗法叫温度疗法，最近我还蛮喜欢的，主要是女生一定要注意保暖，把自己搞的热热的身体舒舒服服的。 
我打算再做一下lpg➕indiba还有一个也是西班牙的叫英普瑞的，全做一遍测评一下，还有什么类似项目你们有推荐嘛",,https://wx3.sinaimg.cn/large/ed9d4461gy1hvxkg3sxmsj20wi1k4gts.jpg,,,2024-11-24T19:36:00,iPhone 14,13,7,0,汤圆医美记录,,2024-11-24 19:36:00,True
5104251917830783	,P1MBVwR8X,转发微博,,,,,2024-11-24T15:05:52,iPhone 14,10,0,3,,,2024-11-24 15:05:52,False,7063636894,谈美功课小号,5104246502197595	,P1Mtc9dH5,"人其实不用听他说什么，更多的时候是要看他做什么，然后去想做什么背后的动机是什么。
因为人就算是写日记，也可能会欺骗自己。 ",,,,,2024-11-24T14:44:21,互联网杀猪iPhone客户端,134,0,18,,,2024-11-24 14:44:21
5103943600311825	,P1EAE1j7r,"#购物分享# 
丝芙兰这个润唇膏也好嫩啊 ",,"https://wx4.sinaimg.cn/large/ed9d4461gy1hvwcxelvkdj20u0140ws3.jpg,https://wx1.sinaimg.cn/large/ed9d4461gy1hvwcxdg50mj20u01400zu.jpg,https://wx1.sinaimg.cn/large/ed9d4461gy1hvwcxe11l7j20u01407id.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F004rfCVPjx08jOFqiX9d0f0f01005oyz0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002xkeTXjx08jOFqrQaX0f0f01004nSC0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001irk9ijx08jOFqxnIz0f0f01005Dj30k01.mov,,2024-11-23T18:40:44,iPhone 14,13,3,0,购物分享,,2024-11-23 18:40:44,True
5103925537017747	,P1E7vtrDt,#记录生活#说真的我现在爱上做肚子了 ,,"https://wx2.sinaimg.cn/large/ed9d4461gy1hvwauo4xpgj20u0140agx.jpg,https://wx1.sinaimg.cn/large/ed9d4461gy1hvwarzez2ej20u014079k.jpg,https://wx2.sinaimg.cn/large/ed9d4461gy1hvwaulh958j20u0140wkq.jpg,https://wx4.sinaimg.cn/large/ed9d4461gy1hvwaumhd9xj20u0140q8d.jpg,https://wx4.sinaimg.cn/large/ed9d4461gy1hvwas0hwyoj20u01400xv.jpg,https://wx4.sinaimg.cn/large/ed9d4461gy1hvwaulzysej20u014079d.jpg,https://wx1.sinaimg.cn/large/ed9d4461gy1hvwaumvt5tj20u0140q9g.jpg,https://wx4.sinaimg.cn/large/ed9d4461gy1hvwaunbadej21400u0wlg.jpg,https://wx2.sinaimg.cn/large/ed9d4461gy1hvwaunrb22j20u0140tic.jpg",,,2024-11-23T17:28:57,iPhone 14,18,7,0,记录生活,,2024-11-23 17:28:57,True
5103847794017113	,P1C67gR29,"#购物分享# 
真的很喜欢海宝莉这个精华，个人觉得比lamer的修复精华还好用哈哈，就是买不到，她家这个好像没生产了因为不火吧，但是是我觉得她家最好最好用的，还是23年给我寄的。
然后晚上用的资生堂新透白的眼霜和橘灿面霜也很好，早上起来白白嫩嫩亮亮的，资生堂的眼霜，雅顿的橘灿系列都不错的，也是都不火了，没人买。",,"https://wx1.sinaimg.cn/large/ed9d4461gy1hvw1uckyoqj22c02c0x6p.jpg,https://wx1.sinaimg.cn/large/ed9d4461gy1hvw1uay8ixj22c02c01ky.jpg",,,2024-11-23T12:20:01,iPhone 14,19,18,2,购物分享,,2024-11-23 12:20:01,True
5103646780162723	,P1wRU0Gkz,那天我看到这个，他说的，真的到位 ,,https://wx1.sinaimg.cn/large/ed9d4461gy1hvveu5ip8hj20wi0g2jvn.jpg,,,2024-11-22T23:01:16,iPhone 14,45,9,1,,,2024-11-22 23:01:16,True
5103590913872549	,P1vpNgfqt,#记录生活# ,,"https://wx2.sinaimg.cn/large/ed9d4461gy1hvv8ejpgxbj233z2bzqv6.jpg,https://wx4.sinaimg.cn/large/ed9d4461gy1hvv8e8u9c9j22c03404qr.jpg,https://wx1.sinaimg.cn/large/ed9d4461gy1hvv8cllhw8j224y1lob29.jpg,https://wx2.sinaimg.cn/large/ed9d4461gy1hvv8dy7xkrj21sc2ds7wi.jpg,https://wx4.sinaimg.cn/large/ed9d4461gy1hvv8f7pf98j233z2c0b2a.jpg,https://wx4.sinaimg.cn/large/ed9d4461gy1hvv8f6j2jlj22c03401ky.jpg,https://wx2.sinaimg.cn/large/ed9d4461gy1hvv8cmm36kj22c0340x6p.jpg,https://wx1.sinaimg.cn/large/ed9d4461gy1hvv8cnvsucj22c03404qq.jpg,https://wx1.sinaimg.cn/large/ed9d4461gy1hvv8cpm0n1j22c0340b2a.jpg",,,2024-11-22T19:19:17,iPhone 14,16,9,0,记录生活,,2024-11-22 19:19:17,True
5103519162171503	,P1ty496Uf,不只是毒狗毒猫破坏生态，对人影响也很大，小朋友吸入的危害⚠️也很大 ,,"https://wx3.sinaimg.cn/large/ed9d4461gy1hvv068h079j20u01syqa6.jpg,https://wx1.sinaimg.cn/large/ed9d4461gy1hvv069kgbgj20u01sywlo.jpg",,,2024-11-22T14:34:09,iPhone 14,11,0,11,,,2024-11-22 14:34:09,True
5103285627256924	,P1ntourRa,"好东西真的好好看，终于有人懂我们女观众了
 ",,,,,2024-11-21T23:06:10,iPhone 14,6,4,0,,,2024-11-21 23:06:10,True
5103212640603991	,P1lzG2x7N,好…//@我是不停换马甲的恋爱脑:好绿茶的男人,,,,,2024-11-21T18:16:09,iPhone 14,8,2,2,,我是不停换马甲的恋爱脑,2024-11-21 18:16:09,False,1690696460,孟大明白_,5103175160563910	,P1kBe2mHk,李行亮送老婆的七夕礼物，比青团省钱，比腰凳费事，在幼儿园小孩送妈妈的礼物里可以拔得头筹。奖励心疼他到无法自已的观察员们每人一个李行亮和他的礼物。 ,,https://wx2.sinaimg.cn/large/64c5fb0cly1hvtwomi17uj20u00jptat.jpg,,,2024-11-21T15:47:13,微博轻享版,19272,498,650,,,2024-11-21 15:47:13
5103145610903816	,P1jPz3N7G,"//@我是不停换马甲的恋爱脑://@和小猫共进退:
//@桃子与司康:何止普法不精准，宣传和舆论更偏颇。危险驾驶罪几乎100%男性，女性只占0.2%，可日常被骂被嘲的群体是“女司机”。就连比例差距最小的拐卖犯罪，男性也是女性的近两倍，可一提拐卖大众联想的就是“梅姨”——一个虚构的根本不存在的女人。",,,,,2024-11-21T13:49:47,iPhone 14,4,0,8,,"我是不停换马甲的恋爱脑,和小猫共进退,桃子与司康",2024-11-21 13:49:47,False,7730267827,你和龙的妈妈风暴降生,5101515813945779	,P0DqRgytB,从最近的社会新闻来看，图片里提到的精准普法太必要了🙄 ,,https://wx3.sinaimg.cn/large/008r9pN9ly1hvolzqpda0j30lj0sg78a.jpg,,,2024-11-17T01:53:34,OPPO Reno10 Pro+ 5G,4555,1,5977,,,2024-11-17 01:53:34
