id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5104616792654014	,P1W6rb8qG,转发微博,,,,,2024-11-25T15:15:44,iPhone 16 Pro Max,15,0,4,,,2024-11-25 15:15:44,False,3263734730,顾良逢,4542261247084736	,JhJpitJ3W,"微博上何不食肉糜的高等人太多了，用数据看看真实的世界是什么样子吧。
这个网站叫dollar street，拍摄全世界不同收入家庭的照片，以月收入为轴，列成了一条横向的街道。你可以拉动标尺，选择看不同收入家庭的生活。
月收入500-700刀（按购买力而非汇率折 2000-3000rmb 算法较复杂 可理解为每个成年人的可消费额，除收入外，自有住房、自种自吃粮食等都会被计入，具体见评论）已经是这个世界的中位数。他们生活又怎样呢？
p2&3的中国家庭，可以看到房屋谈不上装修，家庭基本生活设施齐全，但显然不富裕。唯一出现的贵重电器是一台笔记本电脑
p4&5的印度家庭有份专业性的工作，房屋稍现代化一些。但一家四口人也就挤在两居室，甚至都不能保证稳定自来水。
p6,7的美国更糟，全家住在救济的一居室，最大的心愿是买个电话。
可以看到并不是国别，而是收入导致了生活的差距。收入在中位数的家庭，不分国家，都至少有干净的床铺和厕所、水电气、基本的饮食，但也都居住空间不足、也没有什么享受型消费。
把收入拉到高于80%家庭，才终于像微博所谓的“普通生活”“勉强中产”了。p8&9是个西班牙的医生家庭，四居室有车有院子，相当体面了——但是按照某红书标准依然不合格，因为这家人也还在用不统一的床品、混杂的餐具。
当我把轴拉到这世界top1%，才符合某些人描述的生活：精致的装修、健康的饮食、香水、珠宝和衣帽间。
消费主义下的生活方式博主永远在拍这1%。大家都很焦虑，忘了99%才是常态。
有空去看看这个网站吧，还可以单独查看不同家庭的玩具、装修、床铺、牙齿甚至厕所。
干净的坐便这世界上60%的人没享受过。",,"https://wx2.sinaimg.cn/large/c288a3cagy1gi4g547djbj20u01t04qp.jpg,https://wx2.sinaimg.cn/large/c288a3cagy1gi4g54v704j20u01t0e0w.jpg,https://wx2.sinaimg.cn/large/c288a3cagy1gi4g798mj1j20qk1bsqan.jpg,https://wx3.sinaimg.cn/large/c288a3cagy1gi4g56nkiyj20u01t0h98.jpg,https://wx2.sinaimg.cn/large/c288a3cagy1gi4g57komqj20u01t07wh.jpg,https://wx2.sinaimg.cn/large/c288a3cagy1gi4g587hnij20u01t0h3c.jpg,https://wx4.sinaimg.cn/large/c288a3cagy1gi4g592m8tj20u01t01kx.jpg,https://wx4.sinaimg.cn/large/c288a3cagy1gi4g59ms6rj20u01t0wz7.jpg,https://wx1.sinaimg.cn/large/c288a3cagy1gi4g5aftnij20u01t07wh.jpg,https://wx4.sinaimg.cn/large/c288a3cagy1gi4g5bwyo9j20u01t07wh.jpg,https://wx1.sinaimg.cn/large/c288a3cagy1gi4g5cycsoj20u01t04qp.jpg",,,2020-08-26T19:55:35,荣耀20 PRO,105089,4216,42819,,,2020-08-26 19:55:35
5104605526492340	,P1VOgreXa,"我天！我之前还想去他那里上课！太吓人了这个//@小雨迷人不眨眼:上海的白男借“身心灵按摩”之名侵害博主和其他受害女性，且他和他妻子的工作室目前还活跃在自媒体宣传11月底的活动，帮转🙏 
查看图片",,,,,2024-11-25T14:30:59,iPhone 16 Pro Max,13,1,7,,小雨迷人不眨眼,2024-11-25 14:30:59,False,5995418414,Lannna-,5103990033620104	,P1FNxfbKM,"一场持续长达五年以上 一个white trash对一群中国女性的pua式猥亵和性侵……
在小红书上发布视频后听了数十个女生的相似遭遇后真的很心痛.....💔🙏🏻
任何愿意伸出援手的朋友，我们需要你！！
真的非常感谢关心我为我提供帮助的朋友人也很感谢多家媒体记者帮我报道跟进，现已有数十名受害者愿意站出来举报，希望相关部门能介入，正义虽迟但到🙏🏻🙏🏻( 更多视频信息小红书🍠:Lanna昕昕）#上海按摩# 
上海
 
Lannna-的微博视频",,,"https://f.video.weibocdn.com/o0/R6n5L5Itlx08jORpZJi001041204bWPd0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732804660&ssig=APZtAEzdRg&KID=unistore,video",上海,2024-11-23T21:45:14,iPhone客户端,21839,1197,5214,上海按摩,,2024-11-23 21:45:14
5104552066419229	,P1Uq2qVVX,听了一个博主下蛊的故事，结果这几天就看到了效果，我觉得这个世界太可怕了，我躲远一点…… ,,,,,2024-11-25T10:58:33,iPhone 16 Pro Max,32,17,0,,,2024-11-25 10:58:33,True
5104346251138207	,P1P454M6b,"我在逛奥莱在prada看到12件（具体数字没有夸张）我正价买的单品，我崩溃了
 ",,,,,2024-11-24T21:20:43,iPhone 16 Pro Max,19,11,0,,,2024-11-24 21:20:43,True
5104229522082953	,P1M1O8JS1,去年也这么说,,,,,2024-11-24T13:36:53,iPhone 16 Pro Max,5,0,0,,,2024-11-24 13:36:53,False,6935399164,BillboardBot,5104225956659589	,P1LW3rWsJ,【🚨】SZA 在网络红人 Kai Cenat 最新直播中确认新专辑将于今年年底前正式推出: ,,"https://wx3.sinaimg.cn/large/007zme8Qgy1hvx9baubt1j30om0k00th.jpg,https://wx2.sinaimg.cn/large/007zme8Qgy1hvx9awxse5j31kw1kw10e.jpg","https://f.video.weibocdn.com/u0/pttRjGJ5gx08jPUmWC3m010412006rgz0E010.mp4?label=mp4_720p&template=886x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1732804658&ssig=fpSddDVFAn&KID=unistore,video",,2024-11-24T13:22:42,,1310,90,106,,,2024-11-24 13:22:42
5104223975117247	,P1LSRltef,看了好崩溃//@姐很难追:恶心🤢//@罗曼蒂克减肥史:杨子骂麦琳傻哔了？//@出版人周筠:麦琳看清这是个什么东西吧，分手保平安//@吃饭嘴巴香:怎么那么多女性看到杨子骂麦琳sha'bi'会高兴夸奖骂得好呢？怎么忍心让一个那么恶劣的男人骂女人呢？不理解。//@四喜烧鹅:保姆是生了儿子才有的奖励，甚至不是耻骨分裂卧病在床时候请的，也不是八月引产身心俱疲产后抑郁时候请的，是生了儿子才有的待遇呀～,,,,,2024-11-24T13:14:50,iPhone 16 Pro Max,26,1,18,,"姐很难追,罗曼蒂克减肥史,出版人周筠,吃饭嘴巴香,四喜烧鹅",2024-11-24 13:14:50,False,2167582977,桃子与司康,5103988875725547	,P1FLFo1tx,"#麦琳李行亮十年老友发文# 划重点：
麦琳经历了一胎耻骨分离瘫在床上两个月还坚持母乳喂养一年、产后抑郁也不被重视；二胎八个月引产，身心遭受重创；再怀三胎时连朋友都觉得不可思议，为什么还要生？！
因为：李行亮觉得一个孩子孤单，“想多给女儿留个伴”——这就是嘴上说特别爱老婆的绝世好男人。
麦琳第三胎生了男孩，李行亮赠她锦旗——李家功臣，并祝愿身材变形容貌焦虑的她瘦比栏杆。
李行亮一半时间在出差，麦琳自己带孩子忙不过来，只好请远在深圳的父母来帮忙。
然而多年前陪李行亮北漂穷到没钱付房租时都不愿开口让父母担心，自己开网店支持李的事业，还曾因借钱被朋友嫌弃导致心理阴影。
可是生完孩子负担繁重，李行亮又一丁点都指望不上，才把自己父母叫来当保姆，这就是舆论讨伐的“全家都靠李行亮养”“吃绝户”。
舆论还骂她明明家里有保姆，算什么主妇？
实际上保姆是第三胎生了儿子才有的
也是生了儿子请了保姆后，麦琳父母才得以回深圳自己的房子过自己的养老生活。
另外，李行亮自己在节目里抱怨家庭琐事耽误他创作，他离家一个月立刻写出五首歌。
他没说的是，他是在麦琳三胎产子后的哺乳期，离家去写歌的。
是啊，家里俩孩子，一个还是婴儿，可不闹腾嘛，当爸的可以以工作之名出去躲清净，把一大家子麻烦事都甩给哺乳期的老婆。
他在节目里说这件事，甚至不是感谢老婆的付出成全他的事业，而是抱怨——你看没有了你拖后腿，我一下就能写五首歌诶！
真是绝世好男人啊。",,"https://wx4.sinaimg.cn/large/8132b101gy1hvwi4lydtqj213z0w4ws8.jpg,https://wx2.sinaimg.cn/large/8132b101gy1hvyotl4wu8j20fi0op75o.jpg",,,2024-11-23T21:40:38,iPhone 14 Pro,48730,124,5283,麦琳李行亮十年老友发文,,2024-11-23 21:40:38
5104206027688998	,P1LpUwgg6,最近偏心妹妹 所有人来家里都说哥哥好看不喜欢妹妹 我就喜欢 我天天要抱抱亲亲妹妹 ,,https://wx4.sinaimg.cn/large/006JlK2agy1hvx70b8zv4j32c03401ky.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003O6SjBgx08jPP2w3Re0f0f0100k0i50k01.mov,,2024-11-24T12:03:31,iPhone 16 Pro Max,27,6,0,,,2024-11-24 12:03:31,True
5104205108352305	,P1Loqz2OB,"我这还是苦心经营找角度拍宽一点了 
 我会努力的//@阿坤哥哥oO:你真的有健身吗？哈哈哈",,,,,2024-11-24T11:59:52,iPhone 16 Pro Max,14,6,0,,阿坤哥哥oO,2024-11-24 11:59:52,False,6166913958,好喜欢黄金百香果,5103911916799338	,P1DLxswOK,我咋感觉自己毛线帽还挺好看的为什么我朋友说我好难看 ,,https://wx1.sinaimg.cn/large/006JlK2agy1hvw9aiomelj30u01hch01.jpg,,,2024-11-23T16:34:50,iPhone 16 Pro Max,42,30,1,,,2024-11-23 16:34:50
5103933638838676	,P1EkzB5li,今天有点感冒吃个冰激凌不过分吧 ,,https://wx4.sinaimg.cn/large/006JlK2agy1hvwbsizkxhj32c0340qv5.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000Fw7qbgx08jOCHZrw30f0f01007Goo0k01.mov,,2024-11-23T18:01:08,iPhone 16 Pro Max,15,3,0,,,2024-11-23 18:01:08,True
5103911916799338	,P1DLxswOK,我咋感觉自己毛线帽还挺好看的为什么我朋友说我好难看 ,,https://wx1.sinaimg.cn/large/006JlK2agy1hvw9aiomelj30u01hch01.jpg,,,2024-11-23T16:34:50,iPhone 16 Pro Max,42,30,1,,,2024-11-23 16:34:50,True
